"State","Date","Population"
"LA",2017-05-17,4671493.90410959
"LA",2017-05-18,4671473.15068493
"LA",2017-05-19,4671452.39726027
"LA",2017-05-20,4671431.64383562
"LA",2017-05-21,4671410.89041096
"LA",2017-05-22,4671390.1369863
"LA",2017-05-23,4671369.38356164
"LA",2017-05-24,4671348.63013699
"LA",2017-05-25,4671327.87671233
"LA",2017-05-26,4671307.12328767
"LA",2017-05-27,4671286.36986301
"LA",2017-05-28,4671265.61643836
"LA",2017-05-29,4671244.8630137
"LA",2017-05-30,4671224.10958904
"LA",2017-05-31,4671203.35616438
"LA",2017-06-01,4671182.60273973
"LA",2017-06-02,4671161.84931507
"LA",2017-06-03,4671141.09589041
"LA",2017-06-04,4671120.34246575
"LA",2017-06-05,4671099.5890411
"LA",2017-06-06,4671078.83561644
"LA",2017-06-07,4671058.08219178
"LA",2017-06-08,4671037.32876712
"LA",2017-06-09,4671016.57534247
"LA",2017-06-10,4670995.82191781
"LA",2017-06-11,4670975.06849315
"LA",2017-06-12,4670954.31506849
"LA",2017-06-13,4670933.56164384
"LA",2017-06-14,4670912.80821918
"LA",2017-06-15,4670892.05479452
"LA",2017-06-16,4670871.30136986
"LA",2017-06-17,4670850.54794521
"LA",2017-06-18,4670829.79452055
"LA",2017-06-19,4670809.04109589
"LA",2017-06-20,4670788.28767123
"LA",2017-06-21,4670767.53424658
"LA",2017-06-22,4670746.78082192
"LA",2017-06-23,4670726.02739726
"LA",2017-06-24,4670705.2739726
"LA",2017-06-25,4670684.52054795
"LA",2017-06-26,4670663.76712329
"LA",2017-06-27,4670643.01369863
"LA",2017-06-28,4670622.26027397
"LA",2017-06-29,4670601.50684932
"LA",2017-06-30,4670580.75342466
"LA",2017-07-01,4670560
"LA",2017-07-02,4670530.21917808
"LA",2017-07-03,4670500.43835616
"LA",2017-07-04,4670470.65753425
"LA",2017-07-05,4670440.87671233
"LA",2017-07-06,4670411.09589041
"LA",2017-07-07,4670381.31506849
"LA",2017-07-08,4670351.53424658
"LA",2017-07-09,4670321.75342466
"LA",2017-07-10,4670291.97260274
"LA",2017-07-11,4670262.19178082
"LA",2017-07-12,4670232.4109589
"LA",2017-07-13,4670202.63013699
"LA",2017-07-14,4670172.84931507
"LA",2017-07-15,4670143.06849315
"LA",2017-07-16,4670113.28767123
"LA",2017-07-17,4670083.50684932
"LA",2017-07-18,4670053.7260274
"LA",2017-07-19,4670023.94520548
"LA",2017-07-20,4669994.16438356
"LA",2017-07-21,4669964.38356164
"LA",2017-07-22,4669934.60273973
"LA",2017-07-23,4669904.82191781
"LA",2017-07-24,4669875.04109589
"LA",2017-07-25,4669845.26027397
"LA",2017-07-26,4669815.47945205
"LA",2017-07-27,4669785.69863014
"LA",2017-07-28,4669755.91780822
"LA",2017-07-29,4669726.1369863
"LA",2017-07-30,4669696.35616438
"LA",2017-07-31,4669666.57534247
"LA",2017-08-01,4669636.79452055
"LA",2017-08-02,4669607.01369863
"LA",2017-08-03,4669577.23287671
"LA",2017-08-04,4669547.45205479
"LA",2017-08-05,4669517.67123288
"LA",2017-08-06,4669487.89041096
"LA",2017-08-07,4669458.10958904
"LA",2017-08-08,4669428.32876712
"LA",2017-08-09,4669398.54794521
"LA",2017-08-10,4669368.76712329
"LA",2017-08-11,4669338.98630137
"LA",2017-08-12,4669309.20547945
"LA",2017-08-13,4669279.42465753
"LA",2017-08-14,4669249.64383562
"LA",2017-08-15,4669219.8630137
"LA",2017-08-16,4669190.08219178
"LA",2017-08-17,4669160.30136986
"LA",2017-08-18,4669130.52054795
"LA",2017-08-19,4669100.73972603
"LA",2017-08-20,4669070.95890411
"LA",2017-08-21,4669041.17808219
"LA",2017-08-22,4669011.39726027
"LA",2017-08-23,4668981.61643836
"LA",2017-08-24,4668951.83561644
"LA",2017-08-25,4668922.05479452
"LA",2017-08-26,4668892.2739726
"LA",2017-08-27,4668862.49315068
"LA",2017-08-28,4668832.71232877
"LA",2017-08-29,4668802.93150685
"LA",2017-08-30,4668773.15068493
"LA",2017-08-31,4668743.36986301
"LA",2017-09-01,4668713.5890411
"LA",2017-09-02,4668683.80821918
"LA",2017-09-03,4668654.02739726
"LA",2017-09-04,4668624.24657534
"LA",2017-09-05,4668594.46575342
"LA",2017-09-06,4668564.68493151
"LA",2017-09-07,4668534.90410959
"LA",2017-09-08,4668505.12328767
"LA",2017-09-09,4668475.34246575
"LA",2017-09-10,4668445.56164384
"LA",2017-09-11,4668415.78082192
"LA",2017-09-12,4668386
"LA",2017-09-13,4668356.21917808
"LA",2017-09-14,4668326.43835616
"LA",2017-09-15,4668296.65753425
"LA",2017-09-16,4668266.87671233
"LA",2017-09-17,4668237.09589041
"LA",2017-09-18,4668207.31506849
"LA",2017-09-19,4668177.53424658
"LA",2017-09-20,4668147.75342466
"LA",2017-09-21,4668117.97260274
"LA",2017-09-22,4668088.19178082
"LA",2017-09-23,4668058.4109589
"LA",2017-09-24,4668028.63013699
"LA",2017-09-25,4667998.84931507
"LA",2017-09-26,4667969.06849315
"LA",2017-09-27,4667939.28767123
"LA",2017-09-28,4667909.50684932
"LA",2017-09-29,4667879.7260274
"LA",2017-09-30,4667849.94520548
"LA",2017-10-01,4667820.16438356
"LA",2017-10-02,4667790.38356164
"LA",2017-10-03,4667760.60273973
"LA",2017-10-04,4667730.82191781
"LA",2017-10-05,4667701.04109589
"LA",2017-10-06,4667671.26027397
"LA",2017-10-07,4667641.47945205
"LA",2017-10-08,4667611.69863014
"LA",2017-10-09,4667581.91780822
"LA",2017-10-10,4667552.1369863
"LA",2017-10-11,4667522.35616438
"LA",2017-10-12,4667492.57534247
"LA",2017-10-13,4667462.79452055
"LA",2017-10-14,4667433.01369863
"LA",2017-10-15,4667403.23287671
"LA",2017-10-16,4667373.45205479
"LA",2017-10-17,4667343.67123288
"LA",2017-10-18,4667313.89041096
"LA",2017-10-19,4667284.10958904
"LA",2017-10-20,4667254.32876712
"LA",2017-10-21,4667224.54794521
"LA",2017-10-22,4667194.76712329
"LA",2017-10-23,4667164.98630137
"LA",2017-10-24,4667135.20547945
"LA",2017-10-25,4667105.42465753
"LA",2017-10-26,4667075.64383562
"LA",2017-10-27,4667045.8630137
"LA",2017-10-28,4667016.08219178
"LA",2017-10-29,4666986.30136986
"LA",2017-10-30,4666956.52054795
"LA",2017-10-31,4666926.73972603
"LA",2017-11-01,4666896.95890411
"LA",2017-11-02,4666867.17808219
"LA",2017-11-03,4666837.39726027
"LA",2017-11-04,4666807.61643836
"LA",2017-11-05,4666777.83561644
"LA",2017-11-06,4666748.05479452
"LA",2017-11-07,4666718.2739726
"LA",2017-11-08,4666688.49315068
"LA",2017-11-09,4666658.71232877
"LA",2017-11-10,4666628.93150685
"LA",2017-11-11,4666599.15068493
"LA",2017-11-12,4666569.36986301
"LA",2017-11-13,4666539.5890411
"LA",2017-11-14,4666509.80821918
"LA",2017-11-15,4666480.02739726
"LA",2017-11-16,4666450.24657534
"LA",2017-11-17,4666420.46575342
"LA",2017-11-18,4666390.68493151
"LA",2017-11-19,4666360.90410959
"LA",2017-11-20,4666331.12328767
"LA",2017-11-21,4666301.34246575
"LA",2017-11-22,4666271.56164384
"LA",2017-11-23,4666241.78082192
"LA",2017-11-24,4666212
"LA",2017-11-25,4666182.21917808
"LA",2017-11-26,4666152.43835616
"LA",2017-11-27,4666122.65753425
"LA",2017-11-28,4666092.87671233
"LA",2017-11-29,4666063.09589041
"LA",2017-11-30,4666033.31506849
"LA",2017-12-01,4666003.53424658
"LA",2017-12-02,4665973.75342466
"LA",2017-12-03,4665943.97260274
"LA",2017-12-04,4665914.19178082
"LA",2017-12-05,4665884.4109589
"LA",2017-12-06,4665854.63013699
