"State","Date","RMV"
"AL",2018-01-22,5417134.52693208
"AL",2018-01-23,5416169.12177986
"AL",2018-01-24,5415203.71662764
"AL",2018-01-25,5414238.31147541
"AL",2018-01-26,5413272.90632319
"AL",2018-01-27,5412307.50117096
"AL",2018-01-28,5411342.09601874
"AL",2018-01-29,5410376.69086651
"AL",2018-01-30,5409411.28571429
"AL",2018-01-31,5408445.88056206
"AL",2018-02-01,5407480.47540984
"AL",2018-02-02,5406515.07025761
"AL",2018-02-03,5405549.66510539
"AL",2018-02-04,5404584.25995316
"AL",2018-02-05,5403618.85480094
"AL",2018-02-06,5402653.44964871
"AL",2018-02-07,5401688.04449649
"AL",2018-02-08,5400722.63934426
"AL",2018-02-09,5399757.23419204
"AL",2018-02-10,5398791.82903981
