"Year","State","Type_of_beverage","Gallons_of_beverage","Gallons_of_ethanol","Population","Gallons_of_ethanol_per_capita_age_14_and_older","Decile_for_per_capita_consumption_age_14_and_older","Population_.age_21_and_older.","Gallons_of_ethanol_per_capita_age_21_and_older","Decile_for_per_capita_consumption_age_21_and_older","Type_of_data_source","Time.varying_alcohol_by_volume_.ABV.","Gallons_of_ethanol_derived_from_time.varying_ABV"
2016,"AZ",1,10898923,4479457,5680363,7886,6,5027900,8909,6,7,387,4217883
2016,"AZ",2,17540422,2262714,5680363,3983,6,5027900,4500,6,7,123,2157472
2016,"AZ",3,143313000,6449085,5680363,11353,6,5027900,12827,5,7,47,6735711
2016,"AZ",4,0,13191256,5680363,23223,6,5027900,26236,6,0,0,13111066
2016,"AR",1,3850310,1582477,2443690,6476,9,2165880,7306,9,2,388,1493920
2016,"AR",2,4124493,532060,2443690,2177,9,2165880,2457,9,2,124,511437
2016,"AR",3,50620792,2277936,2443690,9322,9,2165880,10517,9,2,48,2429798
2016,"AR",4,0,4392473,2443690,17975,10,2165880,20280,10,0,0,4435155
2016,"CA",1,61036283,25085912,32161730,7800,7,28561486,8783,7,3,387,23621042
2016,"CA",2,148347031,19136767,32161730,5950,3,28561486,6700,2,3,122,18098338
2016,"CA",3,687240437,30925820,32161730,9616,8,28561486,10828,8,3,48,32987541
2016,"CA",4,0,75148499,32161730,23366,6,28561486,26311,6,0,0,74706921
2016,"CO",1,12860687,5285742,4559826,11592,2,4064527,13005,2,1,382,4912782
2016,"CO",2,18163994,2343155,4559826,5139,4,4064527,5765,4,1,123,2234171
2016,"CO",3,115745215,5208535,4559826,11423,5,4064527,12815,6,1,47,5440025
2016,"CO",4,0,12837432,4559826,28153,3,4064527,31584,3,0,0,12586978
2016,"CT",1,7187668,2954132,3015352,9797,4,2669963,11064,4,1,380,2731314
2016,"CT",2,14430993,1861598,3015352,6174,2,2669963,6972,2,1,123,1775012
2016,"CT",3,56760692,2554231,3015352,8471,10,2669963,9567,10,1,48,2724513
2016,"CT",4,0,7369961,3015352,24441,5,2669963,27603,5,0,0,7230839
2016,"DE",1,3460844,1422407,791894,17962,1,708981,20063,1,1,384,1328964
2016,"DE",2,4513331,582220,791894,7352,1,708981,8212,1,1,123,555140
2016,"DE",3,21096523,949344,791894,11988,4,708981,13390,4,1,48,1012633
2016,"DE",4,0,2953970,791894,37303,1,708981,41665,1,0,0,2896737
2016,"DC",1,2409781,990420,585807,16907,1,533203,18575,1,7,393,947044
2016,"DC",2,4642358,598864,585807,10223,1,533203,11231,1,7,122,566368
2016,"DC",3,14632000,658440,585807,11240,6,533203,12349,6,7,48,702336
2016,"DC",4,0,2247724,585807,38370,1,533203,42155,1,0,0,2215748
2016,"FL",1,43795810,18000078,17431945,10326,3,15764529,11418,3,1,386,16905183
2016,"FL",2,71538173,9228424,17431945,5294,4,15764529,5854,4,1,123,8799195
2016,"FL",3,422153766,18996919,17431945,10898,6,15764529,12050,6,1,48,20263381
2016,"FL",4,0,46225422,17431945,26518,4,15764529,29322,4,0,0,45967759
2016,"GA",1,14287883,5872320,8375023,7012,9,7378027,7959,9,7,390,5572275
2016,"GA",2,16336986,2107471,8375023,2516,9,7378027,2856,8,7,123,2009449
2016,"GA",3,185163000,8332335,8375023,9949,8,7378027,11293,8,7,47,8702661
2016,"GA",4,0,16312126,8375023,19477,9,7378027,22109,9,0,0,16284385
2016,"ID",1,2646670,1087781,1344320,8092,6,1178000,9234,6,6,374,989855
2016,"ID",2,12359609,1594390,1344320,11860,1,1178000,13535,1,2,123,1520232
2016,"ID",3,27592675,1241670,1344320,9236,9,1178000,10540,9,2,47,1296856
2016,"ID",4,0,3923841,1344320,29188,2,1178000,33309,2,0,0,3806943
2016,"IL",1,19827360,8149045,10576605,7705,8,9398719,8670,7,1,385,7633534
2016,"IL",2,35041223,4520318,10576605,4274,5,9398719,4810,5,1,121,4239988
2016,"IL",3,262276345,11802436,10576605,11159,6,9398719,12557,6,1,47,12326988
2016,"IL",4,0,24471798,10576605,23138,6,9398719,26037,6,0,0,24200510
2016,"IN",1,11801708,4850502,5421618,8947,5,4778955,10150,5,1,383,4520054
2016,"IN",2,12321398,1589460,5421618,2932,8,4778955,3326,8,1,123,1515532
2016,"IN",3,118132001,5315940,5421618,9805,8,4778955,11124,8,1,47,5552204
2016,"IN",4,0,11755902,5421618,21683,8,4778955,24599,8,0,0,11587790
2016,"IA",1,5422853,2228793,2564575,8691,5,2262177,9852,5,3,367,1990187
2016,"IA",2,4647159,599483,2564575,2338,9,2262177,2650,9,3,122,566953
2016,"IA",3,74121203,3335454,2564575,13006,3,2262177,14744,3,3,45,3335454
2016,"IA",4,0,6163730,2564575,24034,5,2262177,27247,5,0,0,5892594
2016,"KS",1,4314351,1773198,2353732,7534,8,2069795,8567,8,2,386,1665340
2016,"KS",2,2623004,338368,2353732,1438,10,2069795,1635,10,7,122,320006
2016,"KS",3,53477022,2406466,2353732,10224,7,2069795,11627,7,2,48,2566897
2016,"KS",4,0,4518032,2353732,19195,10,2069795,21828,10,0,0,4552243
2016,"KY",1,7046999,2896317,3655659,7923,6,3254102,8901,6,2,392,2762424
2016,"KY",2,6224724,802989,3655659,2197,9,3254102,2468,9,2,123,765641
2016,"KY",3,78371323,3526710,3655659,9647,8,3254102,10838,8,2,48,3761824
