"State","Year_Month","Acc_PC","Acc_per_RMV","VMT_PC","Rural_Mileage_PC","Urban_Mileage_PC","RMV_PC","Population","Pop_Density","Alc_Cons_PC","Year","Avg_Severity","Month","Rec_Mar_Legal","Sale_Mar_Legal","Med_Mar_Legal","Sale_Mar_Legal_Neighbour","SRC_Bing","SRC_MQ"
"OK",Jan 2019,501.8544581,529.3891735,971.54994,49487.6293548387,10632.7606451613,0.947986609677419,3949359.5483871,57.575035483871,126728.08,2019,2.20132370967742,1,0,0,1,1,1,1
"OK",Feb 2019,422.7054298,446.2698776,872.24781,49582.3275,10655.9764285714,0.947226085714286,3950712.17857143,57.5947546428571,114424.881,2019,2.06961478571429,2,0,0,1,1,1,1
"OK",Mär 2019,434.2044696,459.0374036,1038.44452,49676.9606451613,10679.1751612903,0.945892716129032,3952064.83870968,57.6144738709677,126641.331,2019,2.1229185483871,3,0,0,1,1,1,1
"OK",Apr 2019,554.453066,587.013236,1108.64821,49774.7323333333,10703.1446666667,0.944515096666667,3953463.3,57.6348613333333,122512.774,2019,2.09877506666667,4,0,0,1,1,1,1
"OK",Mai 2019,522.398775,553.877528,1048.32993,49872.4364516129,10727.0974193548,0.943138464516129,3954861.83870968,57.6552493548387,126551.766,2019,2.15200238709677,5,0,0,1,1,1,1
"OK",Jun 2019,425.9140443,452.2222576,1046.44279,49970.07,10751.033,0.941762786666667,3956260.26666667,57.6756363333333,122426.161,2019,2.10815453333333,6,0,0,1,1,0,1
"OK",Jul 2019,453.389674,482.02096,1168.60462,50077.8006451613,10777.14,0.940578883870968,3956855.83870968,57.6843183870968,126487.993,2019,2.05051729032258,7,0,0,1,1,0,1
"OK",Aug 2019,494.61469,526.428865,1183.58666,50197.9558064516,10805.97,0.9395762,3956617.80645161,57.6808480645161,126495.6,2019,2.08752290322581,8,0,0,1,1,0,1
"OK",Sep 2019,349.561987,372.43967,1071.93853,50316.1883333333,10834.335,0.938589576666667,3956383.6,57.677434,122422.345,2019,2.10463733333333,9,0,0,1,1,0,1
"OK",Okt 2019,349.83513,373.116901,993.13741,50434.4329032258,10862.7012903226,0.937602825806452,3956149.41935484,57.67402,126510.577,2019,2.10635619354839,10,0,0,1,1,0,1
